"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP2,TP1";"TestPoint_THTPad_D1.0mm_Drill0.5mm";2;"TestPoint_Probe";;;
2;"RTC_BATT1";"BatteryHolder_Keystone_3000_1x12mm";1;"Battery_Cell";;;
3;"JP2,JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";2;"SolderJumper_3_Bridged12";;;
4;"HEART_SENSOR1,HALL_SENSOR1";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";2;"Conn_01x04_Male";;;
5;"R17,R16,R5,R4";"R_0603_1608Metric";4;"2.2k";;;
6;"U4";"SOT-23";1;"BJT_NPN";;;
7;"U3";"SOT-23-5";1;"LP5907MFX-3.0";;;
8;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega4808-A";;;
9;"SW2";"SW_SPST_REED_CT10-XXXX-G1";1;"SW_Reed";;;
10;"RESET1";"SW_PTS525SM15SMTR2LFS";1;"PTS525SM15SMTR2LFS";;;
11;"R15,R13,R11,R9,R2,R1";"R_0603_1608Metric";6;"10k";;;
12;"R14";"R_0603_1608Metric";1;"0Ω";;;
13;"R12,R10";"R_0603_1608Metric";2;"47k 1%";;;
14;"R8,R6,R3";"R_0603_1608Metric";3;"100k";;;
15;"R7,R18";"R_0603_1608Metric";2;"100ohm";;;
16;"Q3";"SOT-23";1;"P-FET";;;
17;"Q2,Q1";"SOT-23";2;"BSS138";;;
18;"PROGRAM_HEADER1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030-IDC-NL-UPDI";;;
19;"PRIMARY_BATTERY1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
20;"OLED1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
21;"microSD1";"MOLEX_47219-2001";1;"47219-2001";;;
22;"J7,J5,J4,J8,J2";"Pin_D1.0mm_L10.0mm";5;"Conn_01x01_Male";;;
23;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
24;"FTDI1";"PinSocket_1x06_P2.54mm_Horizontal";1;"Conn_01x06";;;
25;"D1";"LED_0805_2012Metric";1;"GRNLED";;;
26;"Crystal_32.768kHz1";"OSC_SSP-T7-F";1;"SSP-T7-F";;;
27;"C8,C6,C4,C2,C1";"C_0603_1608Metric";5;"0.1uF";;;
28;"C7";"C_0603_1608Metric";1;"10uF";;;
29;"C5,C3";"C_0603_1608Metric";2;"1uF";;;
30;"C9,C10";"C_0603_1608Metric";2;"4-16pF";;;
31;"RTC1";"MSOP-8_3x3mm_P0.65mm";1;"MCP79400";;;
32;"D2";"LED_0805_2012Metric";1;"REDLED";;;
